Key,Description,Standard,DE,LT
SAY.flowchart.3.,,An incident has occured at camp whilst you are on a break. You are walking back to your bunk and you hear what you think is yelling.,"Während einer Pause ist im Camp ein Vorfall aufgetreten. Sie gehen zurück zu Ihrer Koje und hören, was Sie denken, schreit.","Incidentas įvyko stovykloje tuo esate pertraukos. Jūs einate į savo gulto ir išgirsite, ką jūs manote yra šaukiantį."
SAY.flowchart.8.,,"You walk closer to the noise, and you notice two campers, who are face-to-face, yelling. What do you do?","Sie gehen näher an den Lärm heran und bemerken zwei Camper, die sich von Angesicht zu Angesicht schreien. Wie geht's?","Jūs vaikščioti arčiau triukšmo, ir jūs pastebėsite, du kemperiai, kurie akis į akį, šaukiantį. Ką tu darai?"
MENU.flowchart.9,,Run over to the campers and forcefully seperate them.,Lauf rüber zu den Campern und trenne sie gewaltsam.,Suvažinėti į stovyklautojų ir ryžtingai juos atskirkite.
MENU.flowchart.12,,Run over to the campers and yell at them to get off one another.,"Lauf rüber zu den Campern und schreie sie an, um sich gegenseitig zu verlassen.",Suvažinėti į stovyklautojų ir klykauti ne jų išlipti vienas kitą.
MENU.flowchart.11,,Calmly try diffuse the situation and try seperate them peacefully.,"Versuchen Sie ruhig, die Situation zu zerstreuen und sie friedlich zu trennen.",Ramiai pabandyti difuzinis situaciją ir bandyti Atskiroje juos taikiai.
MENU.flowchart.10,,Walk away and leave them to argue.,Geh weg und lass sie streiten.,Pėsčiomis ir palikti juos ginčytis.
SAY.flowchart.15.,,You have reached your 15 second time limit.,Sie haben Ihr Zeitlimit von 15 Sekunden erreicht.,Jūs pasiekėte savo 15 sekundžių laiko limitą.
SAY.flowchart.19.,,You selected: {i}Walk away and leave them to argue.{/i} You recieved {b}{$MyFloat}{/b} points.,Sie haben ausgewählt: {i} Gehen Sie weg und lassen Sie sie streiten. {/I} Sie haben {b} {$MyFloat} {/b} Punkte erhalten.,Pasirinkote:. {I} pėsčiomis ir palikti juos ginčytis {/ i} Gavote {B} {$ MyFloat} {/ b} taškų.
SAY.flowchart.21.,,"You {b}never{/b} leave campers unsupervised, especially when they are arguing!!","Sie lassen Camper niemals unbeaufsichtigt, besonders wenn sie sich streiten !!","Jūs {B} niekada {/ b} atostogų stovyklautojai be priežiūros, ypač kai jie ginčijasi !!"
SAY.flowchart.20.,,{i}{b}***YOU FAILED!!***{/b}{/i} and finished with {b} {b}{$MyFloat}{/b} points.,"Sie lassen Camper niemals unbeaufsichtigt, insbesondere {i} {b} *** SIE sind gescheitert !! *** {/b} {/ i} und haben mit {b} {b} {$MyFloat} {/b} Punkten abgeschlosseny wenn sie streiten !!",Jūs pasiekėte savo 15 sekundžių laiko limitą.
SAY.flowchart.26.,,You selected: {i}Run over to the campers and forcefully seperate them.{/i} You recieved {b}{$MyFloat}{/b} out of 3 points.,Sie haben ausgewählt: {i} Laufen Sie zu den Campern und trennen Sie sie gewaltsam. {/I} Sie haben {b} {$MyFloat} {/b} von 3 Punkten erhalten.,Pasirinkote:. {I} Suvažinėti į stovyklautojų ir ryžtingai juos atskirkite {/ i} Gavote {B} {$ MyFloat} {/ b} iš 3 taškų.
SAY.flowchart.31.,,One of the campers tumbles over a stool in the dining hall and cuts his knee open.,Einer der Camper fällt im Speisesaal über einen Hocker und schneidet sich das Knie auf.,Vienas iš stovyklautojų susierzini nei taburetės valgomajame ir mažina jo kelio atvira.
SAY.flowchart.30.Nurse,,"You take him to the on-site medic to recieve treatment for this, only to be asked by the nurse what happened.","Sie bringen ihn zum Arzt vor Ort, um eine Behandlung dafür zu erhalten, nur um von der Krankenschwester gefragt zu werden, was passiert ist.","Jūs nuvežate jį pas gydytoją vietoje, kad gautumėte gydymą, tik seselės paprašius, kas nutiko."
SAY.flowchart.29.Mean Kid,,"The camper abruptly responds and says, ""He pushed me on the floor!"" as he violently points at you.","Der Camper antwortet abrupt und sagt: ""Er hat mich auf den Boden geschoben!"" wie er heftig auf dich zeigt.","Kemperis staiga reaguoja ir sako: ""Jis pastūmėjo mane ant grindų!"" kaip jis žiauriai primena tave."
SAY.flowchart.28.,,"At this point the nurse has gone to get the Head-Counsellor, who asks...","Zu diesem Zeitpunkt ist die Krankenschwester gegangen, um den Schulleiter zu holen, der fragt ...","Šiuo metu slaugytoja nuėjo gauti galvos patarėjas, kuris klausia ..."
SAY.flowchart.27.Head-Counsellor,,"""What happened here, is everyone ok?"". What is your response?","""Was ist hier passiert, geht es allen gut?"" Was ist deine Antwort?","""Kas čia nutiko, yra visi ok?"". Kokia jūsų reakcija?"
MENU.flowchart.32,,"Honesty: ""I had to seperate them as I believe they were about to fight one-another"".","Ehrlichkeit: ""Ich musste sie trennen, da ich glaube, dass sie im Begriff sind, gegeneinander zu kämpfen.""","Sąžiningumas: ""Turėjau juos atskirkite nes manau jie apie kovoti vienas kitą""."
MENU.flowchart.35,,"Apologetic: ""I'm so sorry, it was not intentional. I promise you. I did what I thought was best"".","Entschuldigung: ""Es tut mir so leid, es war nicht beabsichtigt. Ich verspreche es Ihnen. Ich habe getan, was ich für das Beste hielt.""","Kaltų: "". Aš taip gaila, tai buvo ne tyčinis Aš jums pažadu aš, ką aš maniau buvo geriausia.""."
MENU.flowchart.34,,"Lie: ""He must have hit his head, I saw him by the bathroom on the floor"".","Lüge: ""Er muss seinen Kopf getroffen haben, ich habe ihn im Badezimmer auf dem Boden gesehen.""","Melas: ""Jis turi turėti nukentėjo galvą, pamačiau jį vonioje ant grindų""."
MENU.flowchart.33,,"Rude: ""They were being idiotic so I decided to force the apart"".","Unhöflich: ""Sie waren idiotisch, also habe ich beschlossen, die auseinander zu zwingen"".","Grubus: ""jie buvo kvailas, todėl aš nusprendė priversti Apart""."
SAY.flowchart.37.,,You have reached your 15 second time limit.,Sie haben Ihr Zeitlimit von 15 Sekunden erreicht.,Jūs pasiekėte savo 15 sekundžių laiko limitą.
SAY.flowchart.45.,,"You selected: {i}""I had to seperate them as I believe they were about to fight one-another"".{/i} You recieved 3 points out of 3 points.","Sie haben ausgewählt: {I}""Ich musste sie trennen, da ich glaube, dass sie im Begriff sind, gegeneinander zu kämpfen."" {/I} Sie haben 3 von 3 Punkten erhalten.","Pasirinkote: {Aš} ""Turėjau juos atskirkite nes manau jie apie kovoti vienas kitą"" {/ i} Gavote 3 taškus iš 3 taškų.."
SAY.flowchart.47.Head-Counsellor,,"""Ok, well as you believe that was the right way to deal with the situation, I will give you a warning. In future do not put your hands onto a camper!""","""Ok, auch wenn Sie glauben, dass dies der richtige Weg war, um mit der Situation umzugehen, werde ich Sie warnen. Legen Sie in Zukunft Ihre Hände nicht mehr auf ein Wohnmobil!""","Gerai, gerai, kaip jūs manote, kad buvo tinkamas būdas susidoroti su situacija, aš tau duosiu įspėjimą. Ateityje nereikia įdėti savo rankas ant kemperiui!"
SAY.flowchart.46.,,You finished with a total of {b}{$MyFloat}{/b} out of {b}{$TotalFloat}{/b} points.,Sie haben mit insgesamt {b} {$MyFloat} {/b} von {b} {$TotalFloat} {/b} Punkten abgeschlossen.,Jūs baigė su viso {B} {$ MyFloat} {/ b} iš {B} {$ TotalFloat} {/ b} kiekis.
SAY.flowchart.56.,,"You selected: {i}""I'm so sorry, it was not intentional. I promise you. I did what I thought was best"".{/i} You recieved 2 out of 3 points.","Sie haben ausgewählt: {i} ""Es tut mir so leid, es war nicht beabsichtigt. Ich verspreche es Ihnen. Ich habe getan, was ich für das Beste hielt."" {/I} Sie haben 2 von 3 Punkten erhalten.","Pasirinkote: {Aš} "". Aš taip atsiprašau, tai buvo ne tyčinis Aš jums pažadu aš, ką aš maniau buvo geriausia."" {/ I} Gavote 2 iš 3 taškų.."
SAY.flowchart.58.Head-Counsellor,,"""Ok, well as you believe that was the right way to deal with the situation, I will give you a warning. In future do not put your hands onto a camper!""","""Ok, auch wenn Sie glauben, dass dies der richtige Weg war, um mit der Situation umzugehen, werde ich Sie warnen. Legen Sie in Zukunft Ihre Hände nicht mehr auf ein Wohnmobil!""","Gerai, gerai, kaip jūs manote, kad buvo tinkamas būdas susidoroti su situacija, aš tau duosiu įspėjimą. Ateityje nereikia įdėti savo rankas ant kemperiui!"
SAY.flowchart.57.,,You finished with a total of {b}{$MyFloat}{/b} out of {b}{$TotalFloat}{/b} points.,Sie haben mit insgesamt {b} {$MyFloat} {/b} von {b} {$TotalFloat} {/b} Punkten abgeschlossen.,Jūs baigė su viso {B} {$ MyFloat} {/ b} iš {B} {$ TotalFloat} {/ b} kiekis.
SAY.flowchart.60.,,"You selected: {i} ""He must have hit his head, I saw him by the bathroom on the floor"".{/i} You recieved 1 out of 3 points.","Sie haben ausgewählt: {i} ""Er muss seinen Kopf getroffen haben, ich habe ihn im Badezimmer auf dem Boden gesehen"". {/I} Sie haben 1 von 3 Punkten erhalten.","Pasirinkote:. {I} ""Jis turi nukentėjo galvą, pamačiau jį vonioje ant grindų"" {/ i} Gavote 1 iš 3 taškų."
SAY.flowchart.63.Head-Counsellor,,"""Well as long as you are both ok, I guess no harm. Just be careful.""","""Nun, solange es euch beiden gut geht, schätze ich keinen Schaden. Sei einfach vorsichtig.""","Na, kaip ilgai, kaip jūs abu gerai, aš manau, jokios žalos. Tiesiog būkite atsargūs."
SAY.flowchart.61.,,You finished with a total of {b}{$MyFloat}{/b} out of {b}{$TotalFloat}{/b} points.,Sie haben mit insgesamt {b} {$MyFloat} {/b} von {b} {$TotalFloat} {/b} Punkten abgeschlossen.,Jūs baigė su {B} {$ MyFloat} {/ b} kiekis iš viso.
SAY.flowchart.66.,,"You selected: {i}""They were being idiotic so I decided to force the apart"".{/i} You recieved 0 out of 3 points.","Sie haben ausgewählt: {i} ""Sie waren idiotisch, also habe ich beschlossen, das Auseinanderbrechen zu erzwingen."" {/I} Sie haben 0 von 3 Punkten erhalten.","Pasirinkote: {b} ""jie buvo kvailas, todėl aš nusprendė priversti be"" {/ i} Gavote 0 iš 3 taškų.."
SAY.flowchart.69.Head-Counsellor,,"""How dare you... That's it, you are done here. Pack you stuff up and leave them premises!""","""Wie kannst du es wagen ... das war's, du bist hier fertig. Pack deine Sachen zusammen und verlasse die Räumlichkeiten!""","Kaip tu drįsti ... Štai ir viskas, jūs padaryti čia. Pakuotėje galite stuff up ir palikti juos patalpas!"
SAY.flowchart.68.,,*YOU HAVE BEEN FIRED*,* SIE WURDEN GEFEUERT *,* JUS APKADINĖ *
SAY.flowchart.67.,,You finished with a total of {b}{$MyFloat}{/b} out of {b}{$TotalFloat}{/b} points.,Sie haben mit insgesamt {b} {$MyFloat} {/b} von {b} {$TotalFloat} {/b} Punkten abgeschlossen.,Jūs baigė su viso {B} {$ MyFloat} {/ b} iš {B} {$ TotalFloat} {/ b} kiekis.
SAY.flowchart.80.,,You selected: {i}Run over to the campers and yell at them to get off one another.{/i} You recieved {b}{$MyFloat}{/b} out of 3 points.,"Sie haben ausgewählt: {i} Laufen Sie zu den Campern und schreien Sie sie an, um sich gegenseitig zu verlassen. {/I} Sie haben {b} {$MyFloat} {/b} von 3 Punkten erhalten.",Pasirinkote:. {I} Suvažinėti į stovyklautojų ir klykauti ne jų išlipti vienas kitą {/ i} Gavote {B} {$ MyFloat} {/ b} iš 3 taškų.
SAY.flowchart.84.,,The campers stop fighting and become silent.,Die Camper hören auf zu kämpfen und schweigen.,Stovyklautojai sustabdyti kovos ir tapo tyli.
SAY.flowchart.83.,,"After the room becomes silent, they sit down on the chairs and face you.","Nachdem der Raum still geworden ist, setzen sie sich auf die Stühle und sehen dich an.","Po kambarys tampa tyli, jie atsisėsti ant kėdės ir veido jums."
SAY.flowchart.82.,,You need to get to the bottom of the situation so you decide to speak to them individually. Who do you speak to first?,"Sie müssen der Situation auf den Grund gehen, damit Sie individuell mit ihnen sprechen können. Mit wem sprichst du zuerst?","Jums reikia patekti į situaciją apačioje, todėl jūs nusprendėte kalbėti jų atskirai. Kas jums kalbėti pirmiausia?"
MENU.flowchart.90,,"Camper 1: Who is short boy with glasses, and always called names and picked on.","Camper 1: Wer ist ein kleiner Junge mit Brille, der immer Namen genannt und ausgewählt hat.","Kemperis 1: Kas yra trumpas berniukas su akiniais, ir visada vadinamas vardus ir pakėlė ant."
MENU.flowchart.91,,"Camper 2: Who is one of the cool kids, who hangs around in groups.","Camper 2: Wer ist eines der coolen Kids, die in Gruppen rumhängen?","Kemperis 2: Kas yra vienas iš įdomių vaikams, kurie kabo aplink grupes."
SAY.flowchart.85.,,You selected: {i}Calmly try diffuse the situation and try seperate them peacefully.{/i} You recieved {b}{$MyFloat}{/b} points.,"Sie haben ausgewählt: {i} Versuchen Sie ruhig, die Situation zu zerstreuen und sie friedlich zu trennen. {/I} Sie haben {b} {$ MyFloat} {/b} Punkte erhalten.",Pasirinkote:. {I} Ramiai pabandyti difuzinis situaciją ir bandyti Atskiroje juos taikiai {/ i} Gavote {B} {$ MyFloat} {/ b} taškų.
SAY.flowchart.87.,,"They turn to look your way, and calmly sit down to listen to you help figure out the arguement.","Sie drehen sich um, um in Ihre Richtung zu schauen, und setzen sich ruhig hin, um Ihnen zuzuhören, wie Sie den Streit herausfinden.","Jos savo ruožtu ieškoti savo kelią, ir ramiai susėsti klausytis galite padėti išsiaiškinti arguement."
SAY.flowchart.86.,,You need to get to the bottom of the situation so you decide to speak to them individually. Who do you speak to first?,"Sie müssen der Situation auf den Grund gehen, damit Sie individuell mit ihnen sprechen können. Mit wem sprichst du zuerst?","Jums reikia patekti į situaciją apačioje, todėl jūs nusprendėte kalbėti jų atskirai. Kas jums kalbėti pirmiausia?"
MENU.flowchart.88,,"Camper 1: Who is short boy with glasses, and always called names and picked on.","Camper 1: Wer ist ein kleiner Junge mit Brille, der immer Namen genannt und ausgewählt hat.","Kemperis 1: Kas yra trumpas berniukas su akiniais, ir visada vadinamas vardus ir pakėlė ant."
MENU.flowchart.89,,"Camper 2: Who is one of the cool kids, who hangs around in groups.","Camper 2: Wer ist eines der coolen Kids, die in Gruppen rumhängen?","Kemperis 2: Kas yra vienas iš įdomių vaikams, kurie kabo aplink grupes."
SAY.flowchart.96.,,"You selected Camper 1 who is classified as a 'short boy with glasses, who is always called names and picked on'.","Sie haben Camper 1 ausgewählt, der als ""kleiner Junge mit Brille, der immer Namen genannt und ausgewählt wird"" eingestuft wird.","Pasirinkote Kemperis 1, kuris yra klasifikuojamas kaip ""trumpą berniukas su akiniais, kuris visada ragino vardus ir pakėlė ant '."
SAY.flowchart.98.,,"You ask the camper, ""What happened, why are you yelling at each other?"".","Sie fragen den Camper: ""Was ist passiert, warum schreien Sie sich an?""","Jūs klausiate kemperio: ”Kas nutiko, kodėl jūs šaukiate vienas kitam?“."
SAY.flowchart.97.Boy with Glasses,,"Camper 1 responds ""He has been bullying me all the time for the way I look, and I hate him"".","Camper 1 antwortet: ""Er hat mich die ganze Zeit wegen meines Aussehens gemobbt und ich hasse ihn.""","Kemperis 1 reaguoja ""Jis visą laiką mane tyčiojo dėl to, kaip aš atrodau, ir aš jo nekenčiu“."
MENU.flowchart.94,,Talk to Camper 2,Sprich mit Camper 2,Pasitarkite su Camper 2
SAY.flowchart.99.,,"You selected Camper 2 who is classified as one of the cool kids, who hangs around in groups.","Sie haben Camper 2 ausgewählt, das als eines der coolen Kinder eingestuft ist und in Gruppen herumhängt.","Pasirinkote Kemperis 2, kuris yra klasifikuojamas kaip vienas cool vaikams, kurie kabo aplink grupes."
SAY.flowchart.101.,,"You ask the camper, ""What happened, why are you yelling at each other?"".","Sie fragen den Camper: ""Was ist passiert, warum schreien Sie sich an?""","Jūs klausiate kemperio: “Kas nutiko, kodėl jūs šaukiate vienas kitam?“."
SAY.flowchart.100.Mean Kid,,"Camper 2 yells ""Look at him, he is nothing but a wierdo and no-one likes him"".","Camper 2 schreit ""Schau ihn an, er ist nichts als ein Wierdo und niemand mag ihn"".","Kemperis 2 šaukia: “Pažvelk į jį, jis yra ne kas kitas, o wierdo ir niekam nepatinka“.."
MENU.flowchart.95,,Talk to Camper 2,Sprich mit Camper 2,Pasitarkite su Camper 2
SAY.flowchart.102.,,"You selected Camper 2 who is classified as one of the cool kids, who hangs around in groups.","Sie haben Camper 2 ausgewählt, das als eines der coolen Kinder eingestuft ist und in Gruppen herumhängt.","Pasirinkote Kemperis 2, kuris yra klasifikuojamas kaip vienas cool vaikams, kurie kabo aplink grupes."
SAY.flowchart.105.,,"You ask, ""Why are you bullying him?"".","Sie fragen: ""Warum schikanieren Sie ihn?""",Jūs klausiate: “Kodėl jūs jį priekabiaujate?“.
SAY.flowchart.104.Mean Kid,,"Camper 2 responds, ""Just look at him, we all hate him and don't want him here"".","Camper 2 antwortet: ""Schau ihn dir an, wir alle hassen ihn und wollen ihn nicht hier haben.""","Kemperis 2 reaguoja, ""Ne jis tiesiog yra didelis kūdikis! Tai tikriausiai pagal savo lovoje ar kažką!""."
SAY.flowchart.103.,,"You respond with, ""ok let's all talk about it"".","Sie antworten mit ""ok, lass uns alle darüber reden"".","Jūs atsakyti, ""OK tegul visi apie tai kalbėti."""
MENU.flowchart.106,,Talk with each other,Redet miteinander,Pasitarkite su kitu
SAY.flowchart.107.,,"You selected Camper 2 who is classified as a 'short boy with glasses, who is always called names and picked on'.","Sie haben Camper 2 ausgewählt, der als ""kleiner Junge mit Brille, der immer Namen genannt und ausgewählt wird"" eingestuft wird.","Pasirinkote Kemperis 2, kuris yra klasifikuojamas kaip ""trumpą berniukas su akiniais, kuris visada ragino vardus ir pakėlė ant '."
SAY.flowchart.108.,,"You ask, ""What happened?""","Sie fragen: ""Was ist passiert?""","Jūs klausiate: ""Kas nutiko?"""
SAY.flowchart.109.Boy with Glasses,,"Camper 1 responds ""He always punches me and kicks me when no-one is looking""","Camper 1 antwortet: ""Er schlägt mich immer und tritt mich, wenn niemand hinschaut.""","Kemperis 1 reaguoja ""Jis visada muša man ir spardo, kai niekas nežiūri"""
SAY.flowchart.110.,,"You respond with, ""ok let's all talk about it"".","Sie antworten mit ""ok, lass uns alle darüber reden"".","Jūs atsakyti, ""OK tegul visi apie tai kalbėti."""
MENU.flowchart.111,,calmly try diffuse the situation and try seperate them peacefully.,"Versuchen Sie ruhig, die Situation zu zerstreuen und sie friedlich zu trennen.",Pasitarkite su kitu
SAY.flowchart.122.,,Where do you check?,Wo überprüfst du?,Kur jūs patikrinti?
MENU.flowchart.123,,Discuss Further,Weiter diskutieren,Aptarkite toliau
MENU.flowchart.125,,Yell at the mean kid,Schrei das böse Kind an,Rėk į niekšišką vaiką
MENU.flowchart.124,,Send the mean kid to the Head-Counsellor,Schicken Sie das gemeine Kind zum Schulleiter,Nusiųskite vidutinį vaiką pas patarėją
SAY.flowchart.119.,,You have reached your 15 second time limit.,Sie haben Ihr Zeitlimit von 15 Sekunden erreicht.,Jūs pasiekėte savo 15 sekundžių laiko limitą.
SAY.flowchart.129.,,"Sometimes the best is discuss the situation together, no need for a third party. Gain  {b}{$MyFloat}{/b} points.","Manchmal ist es am besten, die Situation gemeinsam zu besprechen, ohne dass ein Dritter erforderlich ist. Erhalte {b} {$MyFloat} {/b} Punkte.",Kaip jūs pakelkite Kemperis 1 lovoje radote korteles!
SAY.flowchart.130.,,You finished with a total of {b}{$MyFloat}{/b} out of {b}{$TotalFloat}{/b} points.,Sie haben mit insgesamt {b} {$MyFloat} {/b} von {b} {$TotalFloat} {/b} Punkten abgeschlossen.,Jūs baigė su viso {b} {$ MyFloat} {/ b} iš {b} {$ TotalFloat} {/ b} kiekis.
SAY.flowchart.171.,,If the situation is repetitive it may be best to send the camper to the Head-Counsellor. Gain  {b}{$MyFloat}{/b} points.,"Wenn sich die Situation wiederholt, ist es möglicherweise am besten, den Camper an den Head-Counselor zu senden. Erhalte {b} {$MyFloat} {/b} Punkte.","Jei situacija pasikartoja, geriausia nusiųsti kemperį pas patarėją. Gaukite {b} {$ MyFloat} {/ b} taškų. "
SAY.flowchart.165.,,You finished with a total of {b}{$MyFloat}{/b} out of {b}{$TotalFloat}{/b} points.,Sie haben mit insgesamt {b} {$MyFloat} {/b} von {b} {$TotalFloat} {/b} Punkten abgeschlossen.,Jūs baigė su viso {b} {$ MyFloat} {/ b} iš {b} {$ TotalFloat} {/ b} kiekis.
SAY.flowchart.172.,,Should never be a scenario when you yell at your campers. Treat them with respect and they will do the same. Gain {b}{$MyFloat}{/b} points.,"Sollte niemals ein Szenario sein, wenn Sie Ihre Camper anschreien. Behandle sie mit Respekt und sie werden das Gleiche tun. Erhalte {b} {$MyFloat} {/b} Punkte.","Niekada neturėtų būti scenarijus, kai šauki ant savo stovyklautojų. Elkitės su jais pagarbiai ir jie padarys tą patį. Gaukite {b}{$ MyFloat}{/ b} taškų."
SAY.flowchart.163.,,You finished with a total of {b}{$MyFloat}{/b} out of {b}{$TotalFloat}{/b} points.,Sie haben mit insgesamt {b} {$MyFloat} {/b} von {b} {$TotalFloat} {/b} Punkten abgeschlossen.,Jūs baigė su viso {b} {$ MyFloat} {/ b} iš {b} {$ TotalFloat} {/ b} kiekis.
SAY.flowchart.149.,,Select Language,,
MENU.flowchart.146,,1. English,,
MENU.flowchart.148,,2. Lithuanian,,
MENU.flowchart.147,,3. German,,
CHARACTER.Nurse,,Nurse,Krankenpfleger ,Vyriausiasis patarėjas
CHARACTER.Boy with Glasses,,Boy with Glasses,Junge mit Brille,Slaugytoja
CHARACTER.Head-Counsellor,,Head-Counsellor,Schulleiter,Berniukas su akiniais
CHARACTER.Mean Kid,,Mean Kid,Mittleres Kind,Vidutinis vaikas
